id,year,round,roundname,date,hteam,hteamid,hscore,ateam,ateamid,ascore,venue,winner,complete,is_final,is_grand_final,margin,is_home_win,season,round_number
2716,2015,8,Round 8,2015-05-23 14:10:00,Greater Western Sydney,9,108,Adelaide,1,84,Sydney Showground,Greater Western Sydney,100,0,0,24,1,2015,8
2717,2015,8,Round 8,2015-05-23 16:35:00,Gold Coast,8,63,Collingwood,4,132,Carrara,Collingwood,100,0,0,-69,0,2015,8
2718,2015,8,Round 8,2015-05-23 19:20:00,Hawthorn,10,69,Sydney,16,73,M.C.G.,Sydney,100,0,0,-4,0,2015,8
2719,2015,8,Round 8,2015-05-23 19:40:00,Fremantle,6,115,North Melbourne,12,42,Subiaco,Fremantle,100,0,0,73,1,2015,8
2720,2015,8,Round 8,2015-05-24 13:10:00,Essendon,5,136,Brisbane,2,78,Docklands,Essendon,100,0,0,58,1,2015,8
2721,2015,8,Round 8,2015-05-24 15:20:00,Melbourne,11,103,Western Bulldogs,18,64,M.C.G.,Melbourne,100,0,0,39,1,2015,8
2722,2015,8,Round 8,2015-05-24 16:40:00,Port Adelaide,13,43,Richmond,14,76,Adelaide Oval,Richmond,100,0,0,-33,0,2015,8
2732,2015,9,Round 9,2015-05-29 19:50:00,Sydney,16,122,Carlton,3,62,S.C.G.,Sydney,100,0,0,60,1,2015,9
2733,2015,9,Round 9,2015-05-30 13:45:00,Hawthorn,10,93,Gold Coast,8,40,University of Tasmania Stadium,Hawthorn,100,0,0,53,1,2015,9
2734,2015,9,Round 9,2015-05-30 14:10:00,Melbourne,11,54,Port Adelaide,13,115,Traeger Park,Port Adelaide,100,0,0,-61,0,2015,9
2735,2015,9,Round 9,2015-05-30 16:35:00,Western Bulldogs,18,113,Greater Western Sydney,9,68,Docklands,Western Bulldogs,100,0,0,45,1,2015,9
2736,2015,9,Round 9,2015-05-30 19:20:00,Richmond,14,72,Essendon,5,59,M.C.G.,Richmond,100,0,0,13,1,2015,9
2737,2015,9,Round 9,2015-05-30 19:40:00,Adelaide,1,57,Fremantle,6,68,Adelaide Oval,Fremantle,100,0,0,-11,0,2015,9
2738,2015,9,Round 9,2015-05-31 13:10:00,Brisbane,2,86,St Kilda,15,108,Gabba,St Kilda,100,0,0,-22,0,2015,9
2739,2015,9,Round 9,2015-05-31 15:20:00,Collingwood,4,112,North Melbourne,12,95,M.C.G.,Collingwood,100,0,0,17,1,2015,9
2740,2015,9,Round 9,2015-05-31 16:40:00,West Coast,17,120,Geelong,7,64,Subiaco,West Coast,100,0,0,56,1,2015,9
2741,2015,10,Round 10,2015-06-05 20:10:00,Fremantle,6,70,Richmond,14,97,Subiaco,Richmond,100,0,0,-27,0,2015,10
2742,2015,10,Round 10,2015-06-06 13:40:00,Carlton,3,90,Adelaide,1,99,M.C.G.,Adelaide,100,0,0,-9,0,2015,10
2753,2015,10,Round 10,2015-06-06 16:35:00,Gold Coast,8,41,Sydney,16,93,Carrara,Sydney,100,0,0,-52,0,2015,10
2754,2015,10,Round 10,2015-06-06 19:20:00,Essendon,5,53,Geelong,7,122,Docklands,Geelong,100,0,0,-69,0,2015,10
2755,2015,10,Round 10,2015-06-06 19:40:00,Port Adelaide,13,100,Western Bulldogs,18,62,Adelaide Oval,Port Adelaide,100,0,0,38,1,2015,10
2756,2015,10,Round 10,2015-06-07 13:10:00,Greater Western Sydney,9,97,Brisbane,2,67,Sydney Showground,Greater Western Sydney,100,0,0,30,1,2015,10
2757,2015,10,Round 10,2015-06-07 15:20:00,North Melbourne,12,85,West Coast,17,75,Bellerive Oval,North Melbourne,100,0,0,10,1,2015,10
2758,2015,10,Round 10,2015-06-07 16:40:00,St Kilda,15,69,Hawthorn,10,132,Docklands,Hawthorn,100,0,0,-63,0,2015,10
2759,2015,10,Round 10,2015-06-08 15:20:00,Melbourne,11,85,Collingwood,4,110,M.C.G.,Collingwood,100,0,0,-25,0,2015,10
