date,season,round_number,home_team,away_team,venue,home_elo,away_elo,elo_diff,elo_prob,home_form_5,home_form_10,away_form_5,away_form_10,home_avg_margin_5,away_avg_margin_5,home_avg_score_5,away_avg_score_5,home_avg_conceded_5,away_avg_conceded_5,home_streak,away_streak,h2h_home_wins_5,h2h_avg_margin_5,home_venue_win_rate,away_venue_win_rate,is_home_ground,days_rest_home,days_rest_away,home_win,margin
2015-05-09 13:45:00,2015,6,North Melbourne,Richmond,Bellerive Oval,1482.05,1479.46,42.59,0.561,0.4,,0.4,,-9.4,9.2,90.8,87.0,100.2,77.8,-1,-2,,,,,0,6.0,7.0,1,35
2015-05-09 14:10:00,2015,6,Western Bulldogs,St Kilda,Docklands,1546.62,1453.39,133.23,0.6829,0.8,,0.2,,4.0,-19.4,88.2,81.8,84.2,101.2,2,-3,,,1.0,0.0,0,7.0,5.0,0,-7
2015-05-09 16:35:00,2015,6,Greater Western Sydney,Hawthorn,Sydney Showground,1512.87,1515.86,37.01,0.5531,0.6,,0.6,,2.4,36.4,86.0,109.4,83.6,73.0,-1,1,,,,,0,6.0,6.0,1,10
2015-05-09 17:10:00,2015,6,Gold Coast,Adelaide,Carrara,1458.83,1509.99,-11.17,0.4839,0.2,,0.6,,-13.0,9.6,86.4,93.8,99.4,84.2,1,-2,,,0.5,,0,7.0,6.0,0,-41
2015-05-09 19:20:00,2015,6,Melbourne,Sydney,M.C.G.,1491.49,1512.32,19.17,0.5276,0.4,,0.6,,-16.0,12.6,71.8,81.6,87.8,69.0,-1,-2,,,0.6667,,0,6.0,7.0,0,-38
2015-05-09 20:10:00,2015,6,Fremantle,Essendon,Subiaco,1572.03,1515.06,96.97,0.636,1.0,,0.6,,32.6,-1.4,96.4,74.8,63.8,76.2,5,1,,,1.0,,0,6.0,6.0,1,28
2015-05-10 15:20:00,2015,6,Carlton,Brisbane,Docklands,1458.57,1426.26,72.31,0.6026,0.2,,0.0,,-30.4,-58.0,78.0,60.4,108.4,118.4,-1,-5,,,,0.0,0,8.0,7.0,0,-9
2015-05-10 16:40:00,2015,6,Port Adelaide,West Coast,Adelaide Oval,1521.14,1514.29,46.86,0.567,0.6,,0.6,,-3.0,33.8,87.8,107.4,90.8,73.6,3,2,,,0.6667,,0,7.0,7.0,0,-10
2015-05-15 19:50:00,2015,7,Essendon,North Melbourne,Docklands,1504.14,1495.22,48.92,0.5699,0.6,,0.6,,-4.6,13.0,73.2,100.0,77.8,87.0,-1,1,,,1.0,0.3333,0,5.0,6.0,0,-11
2015-05-16 13:45:00,2015,7,Adelaide,St Kilda,Adelaide Oval,1524.51,1473.88,90.64,0.6276,0.6,,0.4,,2.4,-16.2,89.6,85.0,87.2,101.2,1,1,,,0.6667,,0,6.0,6.0,1,46
2015-05-16 14:10:00,2015,7,Hawthorn,Melbourne,M.C.G.,1502.45,1475.66,66.79,0.5949,0.4,,0.2,,22.0,-28.8,104.4,58.8,82.4,87.6,-1,-2,,,0.5,0.5,0,6.0,6.0,1,105
2015-05-16 16:35:00,2015,7,Carlton,Greater Western Sydney,Docklands,1440.49,1526.28,-45.79,0.4345,0.2,,0.6,,-26.8,2.6,77.4,90.2,104.2,87.6,-2,1,,,0.0,1.0,0,6.0,7.0,0,-78
2015-05-16 19:20:00,2015,7,Sydney,Geelong,Stadium Australia,1528.14,1504.67,63.47,0.5903,0.6,,0.6,,17.8,-0.2,84.8,83.4,67.0,83.6,1,2,,,1.0,,0,7.0,7.0,1,43
2015-05-16 19:40:00,2015,7,West Coast,Gold Coast,Subiaco,1531.3,1444.31,126.99,0.675,0.8,,0.2,,37.8,-16.0,105.6,84.2,67.8,100.2,3,-1,,,0.6667,,0,6.0,7.0,1,92
2015-05-17 13:10:00,2015,7,Western Bulldogs,Fremantle,Docklands,1526.14,1582.95,-16.81,0.4758,0.6,,1.0,,0.6,36.8,86.2,97.4,85.6,60.6,-1,6,,,0.6667,,0,7.0,7.0,0,-13
2015-05-17 15:20:00,2015,7,Richmond,Collingwood,M.C.G.,1466.29,1525.12,-18.83,0.4729,0.2,,0.6,,-3.2,20.2,80.8,90.2,84.0,70.0,-3,-1,,,0.25,0.75,0,8.0,8.0,1,5
2015-05-17 16:40:00,2015,7,Brisbane,Port Adelaide,Gabba,1444.33,1504.13,-19.8,0.4715,0.2,,0.6,,-53.8,-3.6,62.4,87.8,116.2,91.4,1,-1,,,0.0,,0,7.0,7.0,1,37
2015-05-22 19:50:00,2015,8,Geelong,Carlton,Docklands,1492.38,1427.46,104.93,0.6466,0.6,,0.2,,0.0,-28.6,86.8,76.4,86.8,105.0,-1,-3,,,,0.0,0,6.0,6.0,1,77
2015-05-23 13:45:00,2015,8,St Kilda,West Coast,Docklands,1462.7,1541.05,-38.34,0.445,0.2,,0.8,,-31.0,42.4,78.8,106.4,109.8,64.0,-1,4,,,0.3333,0.0,0,7.0,6.0,0,-53
2015-05-23 14:10:00,2015,8,Greater Western Sydney,Adelaide,Sydney Showground,1539.31,1535.69,43.63,0.5625,0.6,,0.6,,9.2,6.2,97.0,95.4,87.8,89.2,2,2,,,1.0,,0,6.0,7.0,1,24
2015-05-23 16:35:00,2015,8,Gold Coast,Collingwood,Carrara,1434.56,1509.3,-34.74,0.4502,0.2,,0.6,,-28.8,24.6,77.6,97.6,106.4,73.0,-2,-2,,,0.3333,,0,6.0,6.0,0,-69
2015-05-23 19:20:00,2015,8,Hawthorn,Sydney,M.C.G.,1514.6,1540.43,14.17,0.5204,0.6,,0.6,,43.4,16.8,120.2,90.4,76.8,73.6,1,2,,,0.6667,1.0,0,7.0,7.0,0,-4
2015-05-23 19:40:00,2015,8,Fremantle,North Melbourne,Subiaco,1597.22,1512.32,124.91,0.6724,1.0,,0.6,,30.6,-1.2,96.8,92.0,66.2,93.2,7,2,,,1.0,,0,6.0,7.0,1,73
2015-05-24 13:10:00,2015,8,Essendon,Brisbane,Docklands,1487.04,1460.19,66.85,0.595,0.4,,0.4,,-7.2,-30.0,74.0,72.6,81.2,102.6,-2,2,,,0.5,0.5,0,8.0,6.0,1,58
2015-05-24 15:20:00,2015,8,Melbourne,Western Bulldogs,M.C.G.,1463.51,1511.86,-8.35,0.488,0.2,,0.4,,-40.8,-5.8,57.6,86.8,98.4,92.6,-3,-2,,,0.4,1.0,0,8.0,7.0,1,39
2015-05-24 16:40:00,2015,8,Port Adelaide,Richmond,Adelaide Oval,1488.28,1482.1,46.18,0.5661,0.6,,0.4,,-1.4,1.6,92.0,88.6,93.4,87.0,-2,1,,,0.5,,0,7.0,7.0,0,-33
2015-05-29 19:50:00,2015,9,Sydney,Carlton,S.C.G.,1556.04,1416.85,179.19,0.7372,0.6,,0.2,,13.4,-39.8,82.8,72.2,69.4,112.0,3,-4,,,0.5,,0,6.0,7.0,1,60
2015-05-30 13:45:00,2015,9,Hawthorn,Gold Coast,University of Tasmania Stadium,1498.99,1421.05,117.94,0.6635,0.4,,0.2,,28.6,-40.8,108.6,71.0,80.0,111.8,-1,-3,,,1.0,,0,6.0,6.0,1,53
2015-05-30 14:10:00,2015,9,Melbourne,Port Adelaide,Traeger Park,1478.87,1471.3,47.58,0.568,0.4,,0.4,,-28.0,-9.6,67.2,78.0,95.2,87.6,1,-3,,,,,0,5.0,5.0,0,-61
2015-05-30 16:35:00,2015,9,Western Bulldogs,Greater Western Sydney,Docklands,1496.5,1552.44,-15.94,0.4771,0.4,,0.8,,0.4,18.2,88.2,100.6,87.8,82.4,-3,3,,,0.5,1.0,0,6.0,7.0,1,45
2015-05-30 19:20:00,2015,9,Richmond,Essendon,M.C.G.,1499.08,1499.19,39.89,0.5572,0.4,,0.4,,-7.6,0.2,76.4,80.2,84.0,80.0,2,1,,,0.4,0.6667,0,6.0,6.0,1,13
2015-05-30 19:40:00,2015,9,Adelaide,Fremantle,Adelaide Oval,1522.56,1607.05,-44.49,0.4363,0.4,,1.0,,-3.6,39.2,96.2,97.6,99.8,58.4,-1,8,,,0.75,,0,7.0,7.0,0,-11
2015-05-31 13:10:00,2015,9,Brisbane,St Kilda,Gabba,1448.04,1449.35,38.69,0.5554,0.4,,0.2,,-25.8,-26.8,76.6,81.2,102.4,108.0,-1,-2,,,0.25,,0,7.0,7.0,0,-22
2015-05-31 15:20:00,2015,9,Collingwood,North Melbourne,M.C.G.,1522.81,1502.49,60.32,0.5859,0.6,,0.6,,23.6,-14.2,96.0,79.4,72.4,93.6,1,-1,,,0.6,,0,7.0,7.0,1,17
2015-05-31 16:40:00,2015,9,West Coast,Geelong,Subiaco,1554.4,1502.98,91.41,0.6286,1.0,,0.6,,59.0,13.6,116.4,93.8,57.4,80.2,5,1,,,0.75,,0,8.0,8.0,1,56
2015-06-05 20:10:00,2015,10,Fremantle,Richmond,Subiaco,1620.14,1512.37,147.77,0.7007,1.0,,0.6,,38.6,1.4,96.4,80.6,57.8,79.2,9,3,,,1.0,,0,6.0,6.0,0,-27
2015-06-06 13:40:00,2015,10,Carlton,Adelaide,M.C.G.,1408.97,1509.47,-60.5,0.4138,0.0,,0.4,,-59.8,5.6,60.4,94.0,120.2,88.4,-5,-2,,,0.0,,0,7.0,6.0,0,-9
2015-06-06 16:35:00,2015,10,Gold Coast,Sydney,Carrara,1410.96,1563.93,-112.97,0.3429,0.2,,0.8,,-38.2,28.2,68.4,95.2,106.6,67.0,-4,4,,,0.25,,0,7.0,7.0,0,-52
2015-06-06 19:20:00,2015,10,Essendon,Geelong,Docklands,1485.9,1491.84,34.06,0.5489,0.4,,0.6,,1.6,5.6,82.2,93.2,80.6,87.6,-1,-1,,,0.6667,1.0,0,7.0,6.0,0,-69
2015-06-06 19:40:00,2015,10,Port Adelaide,Western Bulldogs,Adelaide Oval,1488.34,1512.19,16.15,0.5232,0.4,,0.4,,1.0,-2.0,81.2,85.8,80.2,87.8,1,1,,,0.4,,0,7.0,7.0,1,38
2015-06-07 13:10:00,2015,10,Greater Western Sydney,Brisbane,Sydney Showground,1536.75,1431.37,145.38,0.6978,0.6,,0.4,,-4.0,-19.6,90.4,80.8,94.4,100.4,-1,-2,,,1.0,,0,7.0,7.0,1,30
2015-06-07 15:20:00,2015,10,North Melbourne,West Coast,Bellerive Oval,1490.07,1565.54,-35.47,0.4491,0.4,,1.0,,-20.8,59.6,81.8,116.8,102.6,57.2,-2,6,,,1.0,,0,7.0,6.0,1,10
2015-06-07 16:40:00,2015,10,St Kilda,Hawthorn,Docklands,1466.02,1509.09,-3.07,0.4956,0.4,,0.6,,-14.4,40.8,86.6,109.0,101.0,68.2,1,1,,,0.25,1.0,0,7.0,8.0,0,-63
2015-06-08 15:20:00,2015,10,Melbourne,Collingwood,M.C.G.,1461.83,1535.23,-33.4,0.4521,0.2,,0.6,,-46.6,23.0,61.4,104.6,108.0,81.6,-1,2,,,0.5,0.6667,0,9.0,8.0,0,-25
2015-06-12 19:50:00,2015,11,Port Adelaide,Geelong,Adelaide Oval,1502.64,1508.31,34.33,0.5492,0.4,0.5,0.6,0.5,3.8,17.6,78.2,100.6,74.4,83.0,2,1,,,0.5,,0,6.0,6.0,0,-23
2015-06-13 13:40:00,2015,11,Gold Coast,Fremantle,Carrara,1400.67,1599.12,-158.45,0.2866,0.0,0.1,0.8,0.9,-61.4,19.6,53.0,86.8,114.4,67.2,-5,-1,,,0.2,,0,6.0,7.0,0,-7
2015-06-13 16:35:00,2015,11,West Coast,Essendon,Subiaco,1549.01,1469.44,119.57,0.6656,0.8,0.7,0.2,0.4,40.2,-12.6,107.8,76.4,67.6,89.0,-1,-2,,,0.8,0.0,0,6.0,6.0,1,50
2015-06-13 19:20:00,2015,11,North Melbourne,Sydney,Docklands,1506.59,1574.22,-27.62,0.4603,0.6,0.5,1.0,0.8,-6.8,39.4,84.8,99.2,91.6,59.8,1,5,,,0.5,,0,6.0,7.0,0,-16
2015-06-14 13:10:00,2015,11,Collingwood,Greater Western Sydney,M.C.G.,1548.79,1545.82,42.97,0.5615,0.6,0.7,0.8,0.7,13.0,19.4,102.6,103.2,89.6,83.8,3,1,,,0.7143,,0,5.0,7.0,1,42
